Date,Revenue (USD),Topic,Lag,correlation,sentimentxfeedback_%_change,revenue_%_change,sentimentxfeedback_,revenue_absolute_change,Trend
2023-06-01,98520000.0,Gacha Feedback,1,0.4984667424437023,,,,,-1260998.44259195
2023-06-01,98520000.0,General Feedback,1,0.42247412729762307,,,,,-2001024.93386477
2023-07-01,70500000.0,Power Creep,2,-0.4321545056043092,,,,,1002137.6241951978
2023-07-01,70500000.0,Gacha Feedback,1,0.4984667424437023,121.0567761241042,-28.440925700365405,1.5372999999999983,-28020000.0,-1260998.44259195
2023-07-01,70500000.0,General Feedback,1,0.42247412729762307,78.8526112738444,-28.440925700365405,1.1037,-28020000.0,-2001024.93386477
2023-07-01,70500000.0,Login Issues,2,-0.4620354640171529,,,,,-3400063.415049531
2024-07-01,36280000.0,Power Creep,2,-0.4321545056043092,-131.36528737269424,-48.53900709219858,-1.8445,-34220000.0,1002137.6241951978
2024-07-01,36280000.0,Gacha Feedback,1,0.4984667424437023,549.7008227374744,-48.53900709219858,1.4699000000000009,-34220000.0,-1260998.44259195
2024-07-01,36280000.0,General Feedback,1,0.42247412729762307,345.5743243243245,-48.53900709219858,1.0229,-34220000.0,-2001024.93386477
2024-07-01,36280000.0,Login Issues,2,-0.4620354640171529,100.0,-48.53900709219858,0.45299999999999935,-34220000.0,-3400063.415049531
2024-07-01,36280000.0,Story/Dialogue,3,-0.41051008481116946,,,,,-344154.27136490867
2024-09-01,54690000.0,Login Issues,2,-0.4620354640171529,-inf,50.744211686879815,-2.1150999999999995,18410000.0,-3400063.415049531
2024-09-01,54690000.0,Power Creep,2,-0.4321545056043092,-577.2025431425976,50.744211686879815,-2.5420000000000003,18410000.0,1002137.6241951978
2024-09-01,54690000.0,Story/Dialogue,3,-0.41051008481116946,-1015.3716216216216,50.744211686879815,-3.0054999999999996,18410000.0,-344154.27136490867
2024-09-01,54690000.0,General Feedback,1,0.42247412729762307,-456.2113082955013,50.744211686879815,-3.316199999999999,18410000.0,-2001024.93386477
2024-09-01,54690000.0,Gacha Feedback,1,0.4984667424437023,-202.37149599953952,50.744211686879815,-3.5157999999999996,18410000.0,-1260998.44259195
2024-10-01,36590000.0,Login Issues,2,-0.4620354640171529,62.75353411186232,-33.09562991406108,1.3272999999999995,-18100000.0,-3400063.415049531
2024-10-01,36590000.0,Power Creep,2,-0.4321545056043092,33.62728004291845,-33.09562991406108,1.0029,-18100000.0,1002137.6241951978
2024-10-01,36590000.0,Story/Dialogue,3,-0.41051008481116946,29.265485385430864,-33.09562991406108,0.9661999999999997,-18100000.0,-344154.27136490867
2024-10-01,36590000.0,General Feedback,1,0.42247412729762307,-34.882014444058306,-33.09562991406108,-0.9032000000000013,-18100000.0,-2001024.93386477
2024-10-01,36590000.0,Gacha Feedback,1,0.4984667424437023,32.561147034017466,-33.09562991406108,0.5791000000000006,-18100000.0,-1260998.44259195
2024-11-01,21080000.0,Login Issues,2,-0.4620354640171529,-232.33054074638233,-42.38863077343537,-1.8303,-15510000.0,-3400063.415049531
